	gene_id	gene_type	logFC	AveExpr
14541	ENSG00000248546.3	processed_pseudogene	0.449817926522256	0.0739725408539951
14546	ENSG00000201050.1	snRNA	0.380944080200912	0.169836608364135
14099	ENSG00000241651.4	processed_pseudogene	0.404279512682501	1.45653165
14034	ENSG00000186867.10	protein_coding	0.488619750044255	-1.745303146
9189	ENSG00000232893.1	antisense	0.332324200837872	1.162603164
3525	ENSG00000271890.1	unprocessed_pseudogene	0.320190293983216	-1.362672208
11271	ENSG00000251447.1	unprocessed_pseudogene	0.378185159596748	-1.484494771
14945	ENSG00000249966.1	antisense	0.406176118522423	-1.570880698
9527	ENSG00000144596.12	protein_coding	0.382598050407283	1.276074539
5970	ENSG00000138050.14	protein_coding	0.330997768230971	-1.060410388
11845	ENSG00000241416.1	processed_pseudogene	0.333480847907833	1.47358935
15792	ENSG00000249721.1	processed_pseudogene	0.350729381191646	-0.565217605618872
6215	ENSG00000212168.1	snoRNA	0.315667144986971	1.129660746
7389	ENSG00000224967.1	processed_pseudogene	0.649235461593516	-1.953019675
17836	ENSG00000233068.3	lincRNA	0.324991053978402	1.705508321
15540	ENSG00000248464.1	antisense	0.302032946591275	0.88958386720194
12780	ENSG00000250137.1	antisense	0.310844412885973	0.545555583332558
14544	ENSG00000248162.1	processed_pseudogene	0.307143444813198	0.947554717554617
8596	ENSG00000173166.17	protein_coding	0.31964956855115	-0.214421593128382
15544	ENSG00000251141.5	antisense	0.294504794981438	0.0799067435255719
18832	ENSG00000065491.8	protein_coding	0.342718997221323	-0.153328742352383
10224	ENSG00000180929.5	protein_coding	0.366114789813008	0.29764761259388
9979	ENSG00000232455.2	antisense	0.340682584439991	-0.955181888681376
17887	ENSG00000283616.1	miRNA	0.273137048749457	0.593195030449873
18131	ENSG00000112308.12	protein_coding	0.375596030840346	-1.275152077
10157	ENSG00000228008.1	antisense	0.405950325447342	-1.298033838
4055	ENSG00000285609.1	rRNA_pseudogene	0.308945272067353	-1.431407391
18519	ENSG00000255726.1	unprocessed_pseudogene	0.339819105023502	0.813700146036113
12042	ENSG00000233441.6	transcribed_unitary_pseudogene	0.259552460971446	-0.731860485443594
12265	ENSG00000252620.1	snRNA	-0.316612824752093	-1.240913769
13564	ENSG00000250677.1	processed_pseudogene	0.34424658950632	1.181006795
